prop_name,dev_stage,actv_status,country_name,current_stage,production_capacity,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),late_exp_stage_lead_time,late_exp_stage_left_time,fea_stage_lead_time,fea_stage_left_time,dev_stage_lead_time,dev_stage_left_time,latitude,longitude
Gordes,Operating,Active,Turkey,Operating-stage,936869.498398034,69743.62279757902,0.7,5034.745616439439,97.143,680000.0,14125869.03557154,,,,,,,39.03333,28.26667
Goro,Operating,Active,New Caledonia,Operating-stage,24781911.80623361,2588893.3701723088,1.6,26213.82501001388,242.833,3682589.0,171287500.0,,,,,,,-22.29309,166.96852
Grasset,Reserves Development,Active,Canada,Operating-stage,,,1.56,,3.45,,,,,,,9.0,,49.96667,-78.33333
Grey Dam,Reserves Development,Active,Australia,Development-stage,905048.8291991713,,0.76,,,,10400000.0,,,,,7.0,0.0,-30.47429,122.15144
Guaxilan,Operating,Active,Guatemala,Operating-stage,8465582.97980138,269521.2574090025,1.86,19787.209846268535,10.0,195000.0,20647058.82352941,,,,,,,15.11909,-89.3559
Gulinskoye,Reserves Development,Inactive,Russia,Operating-stage,,,0.84,,3.15,,,,,,,2.0,,52.65,60.39694
Haito,Reserves Development,Active,Togo,Operating-stage,,,0.99,,7.2,,,,,,,7.0,,7.23917,0.9025
Hanking Group,Operating,Active,Indonesia,Operating-stage,28942899.243853103,4785855.463399433,1.37,3000.4682349365235,350.6,,350600000.0,,,,,,,-3.6,122.0
Hart,Prefeas/Scoping,Temporarily On Hold,Canada,Feasibility-stage,,,1.37,,1.87,25733.0,,3.0,,10.0,3.0,,,48.30371,-81.08124
Hawk Ridge,Reserves Development,Active,Canada,Operating-stage,,,2.11,,19.64,,,,,,,3.0,,59.0,-69.64167
Hengjaya,Operating,Active,Indonesia,Operating-stage,17199724.234657638,2248644.2960324283,1.3,27017.151905482042,180.0,2340000.0,185000000.0,,,,,,,-2.94009,122.23515
Hinatuan,Operating,Inactive,Philippines,Closed,1502728.5893914965,0.0,1.19,0.0,19.54,228000.0,5710000.0,,,,,,,9.77447,125.71593
Hitura,Operating,Inactive,Finland,Closed,16709.134384198554,0.0,0.23,0.0,4.72,25155.0,1656000.0,,,,,,,63.84917,25.04561
Homeville,Prefeas/Scoping,Active,Australia,Feasibility-stage,,,0.89,,17.9,159310.0,,2.0,,11.0,2.0,,,-32.01484,147.04631
Huake Smelter,Operating,Active,Indonesia,Operating-stage,11018515.809934912,843173.7176007562,1.73,38052.32662743949,,,61467804.56436614,,,,,,,-3.16712,129.85718
Huangshan Nan,Operating,Active,China,Operating-stage,294922.0191881367,180926.50355064712,0.32,16146.024991651768,,,85740000.0,,,,,,,42.90641,93.50872
Hunters Road,Reserves Development,Temporarily On Hold,Zimbabwe,Operating-stage,,,0.54,,36.44,200000.0,,,,,,4.0,,-19.154,29.771
Iisko-Tagulsk,Reserves Development,Inactive,Russia,Operating-stage,736076.0373608193,,0.735,4608.454119396869,,7500000.0,7500000.0,,,,,2.0,,54.37497,98.77318
Inner Mongolia,Feasibility,Inactive,China,Operating-stage,172224.05808912113,,0.7,1027.1120843584024,,,1060000.0,,,3.0,,2.0,,41.48083,111.68417
Isabela,Reserves Development,Active,Philippines,Operating-stage,4750058.482928316,,1.36,28328.460746756704,89.89,1073000.0,35694000.0,,,,,5.0,,16.60819,122.30582
Jacare,Reserves Development,Active,Brazil,Development-stage,,,1.32,,306.6,3913000.0,,,,,,8.0,1.0,-6.16667,-51.86667
Jacomynspan,Reserves Development,Active,South Africa,Operating-stage,,,0.32,,214.0,,,,,,,5.0,,-29.41272,21.82686
Jaguar,Feasibility,Active,Brazil,Operating-stage,,,0.96,,80.6,,,,,4.0,,8.0,,-6.49155,-51.19545
Jejevo,Reserves Development,Active,Solomon Islands,Operating-stage,,,1.55,,14.42,,,,,,,3.0,,-8.10355,159.17927
Jericho,Reserves Development,Active,Australia,Operating-stage,,,0.59,,31.0,182900.0,,,,,,2.0,,-27.057475,120.447825
Jianchaling,Reserves Development,Inactive,China,Operating-stage,1187749.5412275367,,0.55,7083.51620860461,36.0,260000.0,51273000.0,,,,,5.0,,33.25159,106.37029
Julimar,Reserves Development,Active,Australia,Development-stage,,,0.16,,330.0,,,,,,,8.0,1.0,-31.52158,116.21078
Junior Lake,Prefeas/Scoping,Active,Canada,Feasibility-stage,,,1.02,,31.0,,,1.0,,7.0,3.0,,,50.38169,-87.94799
Juruogou,Reserves Development,Active,China,Operating-stage,577443.6073889673,,1.11,3443.765718711639,,,1906902.0,,,,,4.0,,44.53706,117.52738
Kabanga,Feasibility Complete,Inactive,Tanzania,Operating-stage,,,2.63,,37.2,,,,,,,8.0,,-2.88889,30.54972
Kabanga,Feasibility,Active,Tanzania,Development-stage,,,0.815,,58.2,1524360.0,,,,2.0,,6.0,1.0,-2.78401,30.70204
Kalatongke,Operating,Active,China,Operating-stage,459376.4807533817,95409.66045379746,0.6,4454.659037185584,30.329311,168715.0,20038273.0,,,,,,,46.75917,89.66722
Kalgoorlie,Feasibility Started,Active,Australia,Feasibility-stage,13358412.659096682,,0.729,,323.9,2206700.0,743484224.9657065,,,23.0,17.0,,,-30.14858,121.18658
Kelkka,Target Outline,Active,Finland,Feasibility-stage,,,0.8,,6.7,,,2.0,,8.0,1.0,,,62.04556,28.77028
Kenbridge,Prefeas/Scoping,Active,Canada,Operating-stage,,,0.625,,8.452,,,3.0,,4.0,,2.0,,49.48357,-93.6347
Kepha,Reserves Development,Inactive,Philippines,Operating-stage,,,1.61,,2.5,,,,,,,3.0,,9.432,125.756
Kevitsa,Operating,Active,Finland,Operating-stage,410962.07035835204,237893.3707201418,0.22,7628.223077914038,296.9,736490.0,140000000.0,,,,,,,67.70108,27.00677
Kingash,Prefeas/Scoping,Active,Russia,Feasibility-stage,,,0.42,,592.88,2383827.0,,1.0,,23.0,10.0,,,54.89897,95.46243
Kola Division,Operating,Inactive,Russia,Closed,7840144.356122704,0.0,0.546,0.0,,,797050000.0,,,,,,,69.39995,30.73034
Koniambo,Operating,Active,New Caledonia,Operating-stage,18562051.30107355,778972.120875623,2.19,23577.22157836151,135.5,3344700.0,41800000.0,,,,,,,-20.97444,164.79285
Kukes,Operating,Active,Albania,Operating-stage,659273.8741669108,13259.956500984123,1.2,957.2274164947,80.329,,1566641.280901759,,,,,,,42.0557,20.35614
Kulikovskoye,Preproduction,Inactive,Russia,Operating-stage,61283.56941521462,,0.735,383.68660788837525,,,130000.0,,,,,2.0,,53.66667,60.0
Kulymbinskaya,Reserves Development,Inactive,Russia,Operating-stage,101428.06292419454,,0.735,635.0248489020163,18.0,297000.0,297000.0,,,,,7.0,,68.08083,89.11417
Kungurskoye,Reserves Development,Inactive,Russia,Operating-stage,229072.4750385691,,0.735,1434.186059115586,,,867000.0,,,,,0.0,,56.84333,59.88072
Kun-Manie,Feasibility Started,Active,Russia,Feasibility-stage,,,0.75,,155.1,1157000.0,,,,18.0,4.0,,,55.35,132.41
La Sampala,Reserves Development,Active,Indonesia,Operating-stage,,,1.62,,162.0,,,,,,,6.0,,-2.70389,121.92778
Lac Rocher,Prefeas/Scoping,On Hold Awaiting Higher Prices,Canada,Feasibility-stage,263461.6919469202,,1.12,,,,799101.0,3.0,,7.0,2.0,,,50.58331,-76.34166
Lainejaur,Reserves Development,Active,Sweden,Operating-stage,,,2.2,,0.46,,,,,,,0.0,,65.24303,18.98023
Lake Johnston,Commissioning,Care And Maintenance,Australia,Operating-stage,1398654.2422268288,,4.1,8341.312415753975,,,1900000.0,,,,,9.0,,-32.19805,120.48309
